Name,Online_Name,Description,Short_Code,Short_Code_2,Sap_Code,HSN_Code,Parent_Category,Category,Category_online_display,Price,Attributes,Active_in_All_Areas,Goods_Services,Rank,Packing_Charges,Allow_Decimal_Qty,Addon_Group_Name,Addon_Group_Selection,Addon_Group_Min,Addon_Group_Max,Variation_group_name,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges
"Alphonso Mango Cake","Alphonso Mango Cake",,19,,,,,"Celebration Cakes","Celebration Cakes",0,veg,No,services,1,0,Yes,,,,,Customisation,500Grms,550,,15,1Kg,1100,,15
"Butterscotch Cake","Butterscotch Cake",,22,,,,,"Celebration Cakes","Celebration Cakes",0,veg,No,services,1,0,Yes,,,,,Customisation,500Grms,450,,15,1Kg,950,,15
"Belgian Truffle Cake","Belgian Truffle Cake",,25,,,,,"Celebration Cakes","Celebration Cakes",0,veg,No,services,1,0,Yes,,,,,Customisation,500Grms,650,,15,1Kg,1300,,15
"Red Velvet Cake","Red Velvet Cake",,28,,,,,"Celebration Cakes","Celebration Cakes",0,veg,No,services,1,0,Yes,,,,,Customisation,500Grms,600,,15,1Kg,1200,,15
"Rasmalai Cake","Rasmalai Cake",,31,,,,,"Celebration Cakes","Celebration Cakes",0,veg,No,services,1,0,Yes,,,,,Customisation,500Grms,550,,15,1Kg,1100,,15
"Choco Velvet Cake","Choco Velvet Cake",,34,,,,,"Celebration Cakes","Celebration Cakes",0,veg,No,services,1,0,Yes,,,,,Customisation,500Grms,550,,15,1Kg,1200,,15
"Honey Almond Cake (500Grms)","Honey Almond Cake (500Grms)",,37,,,,,"Celebration Cakes","Celebration Cakes",600,veg,No,services,1,15,Yes,,,,
"Biscoff Cake (500Grms)","Biscoff Cake (500Grms)",,38,,,,,"Celebration Cakes","Celebration Cakes",600,veg,No,services,1,15,Yes,,,,
"Pista Kunafa Chocolate Cake (500Grms)","Pista Kunafa Chocolate Cake (500Grms)",,39,,,,,"Celebration Cakes","Celebration Cakes",700,veg,No,services,1,15,Yes,,,,
"Hazelnut Cake (500Grms)","Hazelnut Cake (500Grms)",,40,,,,,"Celebration Cakes","Celebration Cakes",700,veg,No,services,1,15,Yes,,,,
"Biscoff Kunafa (500Grms)","Biscoff Kunafa (500Grms)",,41,,,,,"Celebration Cakes","Celebration Cakes",700,veg,No,services,1,15,Yes,,,,
"Caramel Butterscotch Cake (500Grms)","Caramel Butterscotch Cake (500Grms)",,42,,,,,"Celebration Cakes","Celebration Cakes",700,veg,No,services,1,15,Yes,,,,
"Opera Cake (500Grms)","Opera Cake (500Grms)",,43,,,,,"Celebration Cakes","Celebration Cakes",800,veg,No,services,1,15,Yes,,,,
"Black Forest Pastry","Black Forest Pastry",,44,,,,,"Pastry Cakes","Pastry Cakes",85,veg,No,services,1,5,Yes,,,,
"White Forest Pastry","White Forest Pastry",,45,,,,,"Pastry Cakes","Pastry Cakes",85,veg,No,services,1,5,Yes,,,,
"Pineapple Pastry","Pineapple Pastry",,46,,,,,"Pastry Cakes","Pastry Cakes",85,veg,No,services,1,5,Yes,,,,
"Blueberry Pastry","Blueberry Pastry",,47,,,,,"Pastry Cakes","Pastry Cakes",85,veg,No,services,1,5,Yes,,,,
"Butterscotch Pastry","Butterscotch Pastry",,48,,,,,"Pastry Cakes","Pastry Cakes",85,veg,No,services,1,5,Yes,,,,
"Chocolate Truffle Pastry","Chocolate Truffle Pastry",,49,,,,,"Pastry Cakes","Pastry Cakes",110,veg,No,services,1,10,Yes,,,,
